Find,Qty,Ref Des,Part Number,,Find,Qty,Ref Des,Part Number
1,2,"C1, C2",[https://www.mouser.com/ProductDetail/75-1C10Z5U104M050B 0.1uF],,13,2,"J1, J3","Hdr, Strt, 1x20"
2,1,C3,[https://www.mouser.com/ProductDetail/TDK/FG18X7R1H473KNT06?qs=qf2ddTMq67Ua7q%2FdN4IhqA%3D%3D 47nF],,14,1,J2,[https://www.mouser.com/ProductDetail/490-SJ1-3523N AudioJack3]
3,1,C4,[https://www.mouser.com/ProductDetail/140-REA470M1CBK0511P 47uF],,15,1,J4,[https://www.mouser.com/ProductDetail/490-UJ2-BH-1-TH USB-B]
4,1,D1,[https://www.mouser.com/ProductDetail/STMicroelectronics/1N5819?qs=G5AQjGfRJcKKUy9S%252BaTHRQ%3D%3D 1N5819],,16,1,J5,"Header, 1x12, [http://land-boards.com/blwiki/index.php?title=JOYPAD JoyPad] (opt)"
5,1,R1,[https://www.mouser.com/ProductDetail/270-820-RC 845],,17,1,J6,"[https://www.mouser.com/ProductDetail/649-D09P13B4PA00LF Conn, DB-9M] (opt)"
6,1,R2,[https://www.mouser.com/ProductDetail/270-422-RC 422],,18,1,J7,"Header, Strt, 1x2 (opt)"
7,4,"R3, R6, R11, R12",[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 2.2K],,19,1,P1,[https://www.mouser.com/ProductDetail/587-634-015-274-906 VGA] DB-15HD Blue
8,2,"R4, R7",[https://www.mouser.com/ProductDetail/Xicon/270-1K-RC?qs=M%252BIfXg%252ByqRW9HfS5aQr9fw%3D%3D 1K],,,,,
9,2,"R5, R8",[https://www.mouser.com/ProductDetail/Xicon/270-470-RC?qs=AydNPRi2iNsu34dT0hPNAw%3D%3D 470],,,,,
10,1,R9,[https://www.mouser.com/ProductDetail/Xicon/270-47-RC?qs=auYobq8CgO7%252BCkZG5EPwdA%3D%3D 47],,,,,
11,1,R10,[https://www.mouser.com/ProductDetail/Xicon/270-1K-RC?qs=M%252BIfXg%252ByqRW9HfS5aQr9fw%3D%3D 1K],,,,,
12,1,U1,[https://www.mouser.com/ProductDetail/Seeed-Studio/102110537?qs=pUKx8fyJudDPj27tABVsxg%3D%3D RPi-PICO],,,,,
